Subject,Condition,Age,Gender,Race,MFQ_Self_1,MFQ_Self_2,MFQ_Self_3,MFQ_Self_4,MFQ_Self_5,MFQ_Self_Check1,MFQ_Self_7,MFQ_Self_8,MFQ_Self_9,MFQ_Self_10,MFQ_Self_11,MFQ_Self_12,MFQ_Self_13,MFQ_Self_15,MFQ_Self_16,MFQ_Self_17,MFQ_Self_Check2,MFQ_Self_19,MFQ_Self_20,MFQ_Self_21,MFQ_Self_22,MFQ_Self_23,Issue_agreement,Issue_Cand,Issue_Discrim,Issue_Weed,Issue_PB,Identification,Ident_Cand,Ident_Discrim,Ident_Weed,Ident_PB,ManCheck,Check_Cand,Check_Discrim,Check_Weed,Check_PB,MFQ_Targ_1,MFQ_Targ_2,MFQ_Targ_3,MFQ_Targ_4,MFQ_Targ_5,MFQ_Targ_Check1,MFQ_Targ_7,MFQ_Targ_8,MFQ_Targ_9,MFQ_Targ_10,MFQ_Targ_11,MFQ_Targ_12,MFQ_Targ_13,MFQ_Targ_15,MFQ_Targ_16,MFQ_Targ_17,MFQ_Targ_Check2,MFQ_Targ_19,MFQ_Targ_20,MFQ_Targ_21,MFQ_Targ_22,MFQ_Targ_23
27,1,18,2,5,5,5,3,4,3,2,4,5,5,4,3,5,6,2,6,4,5,6,5,5,3,4,1,1,,,,1,1,,,,5,5,,,,5,4,5,5,5,2,4,4,5,5,5,4,4,5,5,5,5,4,5,5,5,4
28,4,18,2,5,6,6,1,3,4,1,6,6,3,4,5,6,6,3,4,2,6,6,5,5,3,3,4,,,,4,3,,,,3,5,,,,5,6,6,6,6,6,3,6,6,4,4,5,6,6,6,6,4,6,6,6,6,4,4
29,4,19,2,2,5,5,2,4,5,1,5,5,5,3,4,5,5,3,5,4,6,6,5,4,2,2,1,,,,1,3,,,,3,5,,,,5,5,5,3,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30,1,21,1,3,5,6,1,2,6,1,4,5,2,1,3,5,4,3,2,3,5,4,6,1,4,1,1,1,,,,3,3,,,,5,5,,,,3,5,5,5,6,1,2,4,4,4,4,3,3,5,5,4,6,2,5,6,5,6
32,4,18,1,2,5,6,1,4,4,1,3,5,3,3,3,1,5,2,6,3,5,2,4,4,5,4,1,,,,1,1,,,,1,5,,,,5,5,5,2,6,6,1,5,5,4,5,5,6,6,3,6,4,5,5,5,5,4,4
33,3,,2,5,5,5,1,2,2,1,5,5,4,2,3,6,6,2,4,4,6,6,5,3,3,4,1,,,1,,3,,,3,,5,,,5,,6,6,3,4,4,1,6,6,3,4,4,6,5,4,5,4,6,6,5,4,3,4
34,2,20,1,5,6,6,4,6,6,1,6,6,6,2,3,5,5,3,6,5,6,5,6,6,4,3,4,,4,,,2,,2,,,5,,5,,,6,6,3,4,6,1,6,4,3,2,4,6,6,1,5,3,6,5,5,6,2,2
35,1,18,2,5,6,6,1,2,1,1,6,4,2,1,1,6,6,1,4,2,6,5,2,3,1,1,1,1,,,,2,2,,,,5,5,,,,3,3,6,5,5,2,3,4,5,6,4,3,3,5,5,4,4,2,5,3,4,5
36,4,20,1,6,5,5,1,2,5,1,4,6,5,1,4,3,4,1,3,3,6,5,4,3,3,4,4,,,,4,1,,,,1,5,,,,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,2,20,2,5,6,6,1,5,6,1,6,6,4,1,6,5,6,2,4,4,6,6,6,4,2,2,1,,1,,,4,,4,,,5,,5,,,3,3,6,6,6,2,2,2,6,6,6,4,4,6,6,6,6,2,6,4,4,6
38,3,18,2,2,4,4,2,4,4,1,4,4,1,1,4,5,4,4,6,6,6,6,6,1,6,5,4,,,4,,1,,,1,,5,,,5,,6,6,5,5,3,1,5,5,6,3,3,6,6,2,5,2,6,6,6,1,2,1
29,4,20,2,6,6,5,1,4,3,1,6,5,4,3,4,5,6,1,3,4,6,6,6,1,1,1,4,,,,4,1,,,,1,5,,,,5,5,4,5,6,5,1,3,5,5,5,6,5,4,6,6,6,6,6,4,6,3,5
40,4,20,1,2,5,4,2,3,1,1,4,6,4,2,5,2,5,3,4,4,5,5,3,4,3,2,4,,,,4,3,,,,3,5,,,,5,5,3,4,3,4,2,5,4,5,3,5,5,4,5,5,6,5,6,5,5,4,5
41,2,18,2,5,4,4,2,4,4,2,4,2,4,4,4,5,5,2,4,5,5,6,6,3,4,4,1,,1,,,3,,3,,,5,,5,,,3,3,2,5,3,4,2,5,2,2,2,2,2,4,4,2,6,3,5,3,3,3
42,2,18,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,1,,,3,,3,,,5,,5,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
43,1,20,2,5,6,5,1,4,4,2,4,5,3,5,3,5,5,2,4,3,5,5,4,4,1,3,,,,,,3,3,,,,5,5,,,,3,2,4,4,4,2,4,4,4,5,5,3,2,5,5,5,5,2,4,3,5,5
44,3,19,1,5,5,4,1,3,2,1,5,6,5,1,4,3,5,1,4,3,6,6,6,1,1,2,1,,,1,,2,,,2,,5,,,5,,6,5,4,5,5,1,4,5,6,6,5,6,5,5,6,5,6,5,5,6,4,5
45,3,20,1,5,5,5,4,4,4,4,4,5,3,4,5,4,6,5,5,5,6,5,5,4,5,4,1,,,1,,1,,,1,,5,,,5,,5,5,3,5,5,2,3,4,5,5,5,4,4,4,6,6,6,6,4,3,5,5
46,3,21,1,5,4,5,1,1,4,1,4,6,3,1,4,4,6,1,4,2,6,6,6,3,3,1,1,,,1,,3,,,3,,5,,,5,,4,4,5,6,6,1,5,4,6,6,6,6,2,4,6,6,6,6,3,6,4,6
47,2,19,2,5,6,5,1,2,2,1,6,3,6,1,4,6,6,1,4,4,6,6,6,3,1,2,1,,1,,,4,,4,,,5,,5,,,5,4,6,6,6,2,4,5,6,6,4,5,4,6,6,4,5,5,5,6,6,6
48,3,20,1,5,5,4,5,4,5,5,5,5,5,4,5,5,5,4,5,3,6,4,5,4,4,3,1,,,1,,3,,,3,,5,,,5,,6,4,5,5,6,6,6,6,6,6,6,3,6,5,6,6,6,6,6,6,1,6
49,2,19,2,5,6,6,1,3,1,1,4,5,4,2,1,4,4,2,6,3,6,5,5,3,1,3,1,,1,,,4,,4,,,5,,5,,,6,1,6,6,6,3,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6
50,1,20,1,5,5,5,1,2,1,1,6,5,1,1,4,5,6,1,1,1,5,4,6,1,1,4,1,1,,,,4,4,,,,5,5,,,,4,3,5,4,4,1,4,5,4,4,3,3,4,5,5,3,5,5,4,5,3,3
51,2,18,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,1,,,2,,2,,,5,,5,,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
52,2,18,2,5,5,5,1,3,3,1,4,4,3,2,5,3,4,4,5,6,6,5,5,6,4,4,1,,1,,,3,,3,,,5,,5,,,3,3,4,5,5,3,5,6,6,6,6,4,6,6,6,6,6,6,6,5,5,5
54,2,22,2,2,2,3,4,3,4,4,3,3,4,3,4,3,4,2,3,4,3,4,4,4,3,4,4,,4,,,3,,3,,,5,,5,,,4,3,3,4,3,2,3,2,3,4,3,4,3,4,5,3,3,4,2,3,2,4
55,2,19,2,5,6,4,3,5,5,2,5,4,5,3,5,5,5,5,4,5,6,4,3,5,4,2,1,,1,,,3,,3,,,5,,5,,,5,4,2,5,5,5,6,4,2,3,5,4,4,4,6,5,6,4,4,6,3,4
56,1,19,2,5,6,5,1,5,3,1,6,6,5,1,2,4,5,1,4,3,6,5,5,1,1,1,1,1,,,,2,2,,,,5,5,,,,4,3,6,5,5,1,2,1,1,1,1,5,4,6,6,5,6,5,6,5,5,6
57,4,19,2,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,,,,4,1,,,,1,5,,,,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
59,1,19,2,5,5,5,1,3,4,1,4,5,3,3,4,5,5,1,5,4,6,6,6,4,3,2,1,1,,,,4,4,,,,5,5,,,,3,2,5,6,6,2,4,5,5,6,6,4,2,6,6,6,6,6,4,6,6,6
60,1,19,2,5,5,5,5,5,5,1,5,5,5,5,4,5,5,4,6,3,6,5,5,5,5,4,1,1,,,,3,3,,,,5,5,,,,5,5,5,5,5,1,5,5,5,5,2,6,5,4,6,3,5,5,5,5,5,4
61,4,19,2,5,3,6,3,5,2,2,4,6,6,2,4,5,6,2,5,5,6,6,5,6,1,4,4,,,,4,3,,,,3,5,,,,5,6,6,3,6,5,2,5,6,6,2,5,5,6,2,6,5,6,6,5,6,1,3
62,4,20,2,5,3,4,1,3,2,1,3,,4,2,4,4,5,2,3,3,6,5,5,3,1,1,4,,,,4,4,,,,4,5,,,,5,6,6,6,6,6,1,5,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6
63,3,19,2,5,5,4,4,5,5,2,5,4,5,3,4,5,5,4,5,4,6,4,3,5,3,4,1,,,1,,3,,,3,,5,,,5,,4,5,4,3,4,4,3,4,3,4,5,4,5,5,5,4,4,5,6,5,5,5
64,1,20,1,2,4,2,4,2,4,2,4,4,2,4,4,4,3,6,4,3,3,2,3,4,4,3,1,1,,,,3,3,,,,5,5,,,,3,2,4,3,2,5,4,4,2,4,4,4,3,4,3,4,3,5,3,4,4,4
65,4,20,2,5,6,6,4,5,3,1,6,5,5,3,3,6,6,3,6,5,6,5,5,5,4,5,4,,,,4,5,,,,5,5,,,,5,6,5,5,6,6,2,6,6,4,3,4,5,5,4,6,6,6,6,6,4,5,6
68,2,20,1,2,5,5,5,5,4,2,5,5,5,5,5,5,5,6,4,5,6,5,6,3,4,5,1,,1,,,3,,3,,,5,,5,,,2,3,5,5,5,2,3,4,4,3,3,3,5,5,6,3,4,3,5,3,4,3
69,2,22,2,2,6,6,2,5,6,1,6,6,6,4,6,5,6,1,6,2,6,5,5,4,1,5,1,,1,,,5,,5,,,5,,5,,,5,2,5,6,6,4,5,2,5,1,2,3,2,6,6,6,6,6,6,6,6,6
70,4,20,2,5,6,5,1,3,3,1,4,,3,3,2,5,5,3,,2,6,4,3,4,1,1,4,,,,4,1,,,,1,5,,,,5,5,5,2,4,3,1,5,5,3,3,3,5,5,4,4,3,5,4,5,3,3,3
71,2,19,1,5,3,3,4,5,3,2,4,3,5,3,5,4,5,5,6,4,5,6,5,5,5,4,4,,4,,,3,,3,,,5,,5,,,5,5,3,2,3,3,5,5,5,2,5,6,6,1,2,5,4,6,2,5,2,3
72,4,18,2,5,5,6,3,4,4,1,4,5,4,1,4,6,5,1,4,4,6,4,3,3,6,4,1,,,,1,4,,,,4,5,,,,5,6,5,2,4,4,1,4,4,3,3,4,6,5,2,4,5,6,5,5,3,6,4
73,4,22,2,5,5,5,4,5,5,3,5,5,5,4,4,5,5,4,4,3,4,3,5,4,3,4,1,,,,1,3,,,,3,5,,,,5,5,5,4,4,4,3,5,5,5,4,3,5,5,4,4,3,4,4,5,5,3,4
75,1,22,2,2,4,5,3,5,5,5,4,5,3,5,5,4,5,5,4,5,6,4,5,6,4,3,1,1,,,,2,2,,,,5,5,,,,4,3,4,4,6,6,4,5,4,5,6,5,5,,4,3,4,6,6,4,5,3
76,1,19,1,5,6,4,2,3,4,1,2,4,3,2,4,6,6,2,6,3,6,3,5,6,4,5,4,4,,,,2,2,,,,5,5,,,,6,5,3,4,3,1,4,4,4,3,4,5,5,2,5,4,6,6,4,4,1,5
77,3,18,1,5,5,3,2,5,4,1,5,5,1,2,1,5,6,2,3,6,6,4,5,3,4,2,4,,,4,,2,,,2,,5,,,5,,3,5,3,3,2,1,4,2,2,5,2,4,2,2,2,4,5,3,2,6,2,3
78,3,21,2,5,6,5,2,3,4,1,5,5,6,4,3,6,6,1,3,2,6,4,5,5,1,1,1,,,1,,2,,,2,,5,,,5,,5,4,4,5,6,1,4,5,4,4,4,4,3,4,4,4,4,4,4,4,2,3
79,4,29,1,6,6,6,1,1,1,1,1,6,6,6,1,6,6,1,6,1,6,6,1,1,6,1,1,,,,1,1,,,,1,5,,,,5,6,6,6,6,1,1,6,6,1,1,1,6,6,6,6,6,6,6,6,1,6,6
80,1,22,2,5,6,5,5,5,4,1,5,6,5,4,6,5,4,2,5,5,6,,,2,2,5,1,1,,,,3,3,,,,5,5,,,,1,1,6,1,6,1,1,1,3,6,3,1,1,6,6,3,4,6,6,6,6,6
81,4,19,2,5,5,6,3,4,5,1,6,6,5,5,6,6,6,2,4,5,6,6,5,4,1,1,1,,,,1,1,,,,1,5,,,,5,6,6,5,4,6,1,6,5,5,5,6,5,6,4,4,5,5,6,4,5,1,3
82,2,19,2,5,5,5,2,2,2,2,5,5,4,2,3,6,5,2,2,2,6,4,4,3,1,2,1,,1,,,4,,4,,,5,,5,,,1,1,5,5,5,5,2,3,5,5,5,2,2,5,6,6,4,5,4,6,6,6
83,1,20,2,5,4,4,3,4,4,2,4,4,4,4,4,6,5,2,4,3,5,6,5,4,1,3,1,1,,,,4,4,,,,5,5,,,,4,4,5,5,4,2,4,4,5,5,4,6,4,6,5,3,5,5,6,5,3,4
84,1,19,1,5,4,4,4,3,3,4,3,3,4,4,5,5,5,5,5,5,6,6,5,4,5,5,4,4,,,,4,4,,,,5,5,,,,5,4,4,4,5,5,4,3,4,4,5,4,5,2,3,4,2,4,5,3,5,6
85,4,21,2,2,2,4,2,3,4,1,5,5,5,5,5,3,6,6,5,4,4,3,4,4,3,2,1,,,,1,3,,,,3,5,,,,5,5,6,4,5,6,1,6,6,6,6,6,5,6,6,6,5,6,6,6,6,4,5
86,3,18,2,5,5,5,3,4,2,1,3,4,3,1,3,5,6,1,4,4,5,6,4,2,1,3,1,,,1,,3,,,3,,5,,,5,,6,5,3,5,5,1,5,5,3,4,6,6,6,4,6,6,6,6,4,6,3,4
87,4,19,2,5,6,5,4,5,6,1,6,6,6,6,6,6,6,4,6,5,6,6,6,1,3,3,1,,,,1,1,,,,1,5,,,,5,6,6,5,6,6,1,6,6,4,5,3,6,6,5,6,3,6,6,6,2,1,2
88,4,19,2,6,5,6,5,6,6,3,5,6,6,3,5,5,6,5,4,6,5,4,4,4,5,5,4,,,,4,4,,,,4,5,,,,5,6,5,5,4,6,6,5,4,6,6,5,3,4,4,3,5,,4,6,4,5,5
89,4,20,2,2,2,1,1,3,2,1,3,5,1,4,6,1,2,3,3,6,6,3,2,1,3,1,1,,,,1,3,,,,3,5,,,,5,4,5,5,4,3,1,5,4,1,2,4,3,4,3,4,6,6,4,2,2,4,1
90,3,20,2,5,1,2,3,3,3,2,3,4,3,3,2,1,2,2,4,2,4,2,3,2,3,4,1,,,1,,5,,,5,,5,,,5,,1,3,2,3,2,2,3,2,2,3,3,1,4,3,2,3,3,5,3,3,3,4
91,2,20,1,4,2,3,1,4,3,1,5,3,5,2,2,5,6,4,5,4,5,5,5,5,1,2,1,,1,,,3,,3,,,5,,5,,,4,6,5,5,2,4,3,4,6,5,4,4,4,6,6,5,6,3,6,2,1,5
92,2,23,1,5,5,5,1,2,3,2,6,5,3,1,2,5,4,2,4,2,5,5,3,2,3,2,1,,1,,,4,,4,,,5,,5,,,4,3,5,5,5,3,4,5,5,5,5,2,2,6,6,4,5,3,5,5,5,5
93,3,22,1,2,4,5,3,4,4,3,3,4,3,3,3,4,4,3,5,5,5,4,4,5,4,4,1,,,1,,2,,,2,,5,,,5,,5,2,4,3,3,3,5,4,4,2,3,4,3,2,4,3,4,4,3,3,3,4
94,2,19,1,6,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,,,3,,3,,,5,,5,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
95,4,19,2,5,6,6,2,3,6,1,6,6,5,3,4,6,6,3,4,4,6,6,3,2,1,3,1,,,,1,3,,,,3,5,,,,5,6,6,3,4,5,1,5,6,4,3,3,6,5,4,3,4,6,6,4,4,2,4
96,3,19,2,5,6,5,1,3,4,1,4,5,2,3,2,6,6,2,4,2,6,6,6,4,1,2,1,,,1,,5,,,5,,5,,,5,,5,5,4,4,4,1,5,5,5,5,3,6,5,4,5,5,6,4,5,5,1,5
97,4,18,2,5,6,6,2,2,1,4,3,2,2,4,1,1,4,2,5,4,6,6,4,4,2,1,4,,,,4,1,,,,1,5,,,,5,6,6,3,6,4,4,6,2,3,3,3,6,6,3,6,5,6,6,6,6,3,2
98,2,18,2,5,4,6,1,2,2,1,5,5,5,1,2,6,6,1,5,4,6,6,6,3,1,4,1,,1,,,4,,4,,,5,,5,,,2,2,5,5,5,3,4,4,5,6,5,4,4,6,6,6,5,4,3,5,6,5
100,3,20,2,5,5,4,5,5,4,2,3,4,5,2,2,4,6,6,4,5,6,6,5,5,4,4,1,,,1,,5,,,5,,5,,,5,,6,4,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,5,5,6,5,6
101,2,19,2,5,5,5,4,5,4,1,6,6,6,4,4,5,6,3,5,4,6,6,5,4,3,5,1,,1,,,3,,3,,,5,,5,,,5,4,5,4,2,1,5,6,4,5,4,3,3,5,5,4,5,4,5,5,4,5
102,1,19,1,5,5,5,3,2,3,1,4,4,4,3,5,5,5,1,3,4,6,2,4,2,2,3,1,1,,,,3,3,,,,5,5,,,,1,1,5,6,5,1,2,3,5,6,4,1,1,5,6,4,6,4,5,6,6,6
103,4,18,2,5,6,6,2,2,5,2,5,,5,2,4,5,4,4,4,3,5,6,4,5,1,5,4,,,,4,5,,,,5,5,,,,5,5,5,3,4,2,4,3,4,5,2,5,5,3,4,4,4,5,6,5,5,2,4
104,4,18,1,5,3,4,5,5,5,1,5,5,5,5,5,4,5,3,5,5,5,6,5,4,1,2,4,,,,4,2,,,,2,5,,,,5,5,5,4,6,5,1,5,5,3,5,5,5,6,1,4,5,5,6,5,5,1,5
105,1,21,2,2,3,4,1,2,3,1,2,4,2,1,1,3,5,5,3,6,6,6,6,1,6,2,1,1,,,,3,3,,,,5,5,,,,2,6,1,1,4,1,1,6,1,2,4,1,6,1,3,6,6,3,5,2,6,6
106,1,19,1,5,3,4,4,4,3,3,4,3,4,5,3,5,4,4,4,4,4,4,4,3,1,5,4,4,,,,3,3,,,,5,5,,,,6,5,3,4,4,5,4,3,6,6,6,6,6,2,3,4,3,4,3,4,5,6
107,4,18,2,5,5,3,1,1,1,1,2,4,1,2,3,4,5,2,3,4,6,5,3,3,1,1,4,,,,4,2,,,,2,5,,,,5,4,5,4,5,4,3,3,4,3,2,3,4,3,4,5,4,5,6,4,4,2,3
108,1,19,2,5,4,5,4,3,4,2,4,5,4,5,4,5,6,4,3,5,4,6,4,5,2,4,1,1,,,,5,5,,,,5,5,,,,5,4,6,5,5,3,4,4,5,5,6,4,3,5,5,5,5,6,5,5,4,4
110,4,19,2,3,4,5,3,5,5,3,5,5,4,5,4,4,6,2,4,3,5,5,6,3,2,3,4,,,,4,3,,,,3,5,,,,5,5,4,6,5,6,2,6,4,3,6,5,6,5,6,6,5,6,6,6,6,5,5
112,3,19,1,5,2,3,2,1,2,3,4,5,6,5,4,3,2,3,2,3,2,3,2,3,3,3,1,,,1,,4,,,4,,5,,,5,,1,3,2,4,,5,6,2,4,3,4,3,3,2,3,5,6,2,3,2,4,5
113,4,18,2,5,4,4,3,4,3,1,4,4,5,1,1,4,6,2,4,2,6,5,4,3,3,3,4,,,,4,1,,,,1,5,,,,5,4,6,6,6,6,1,3,3,6,6,6,4,2,6,6,6,5,3,3,6,6,6
114,1,19,2,4,6,6,4,4,5,1,5,5,4,2,2,5,6,1,3,3,6,5,5,4,1,6,1,1,,,,3,3,,,,5,5,,,,3,2,6,6,6,3,4,4,4,5,4,3,2,5,5,4,5,3,5,5,4,4
115,3,18,1,5,2,5,3,2,3,1,5,5,5,2,1,6,6,3,5,3,6,4,4,2,1,1,1,,,1,,4,,,4,,5,,,5,,2,2,6,5,6,2,4,4,5,5,6,4,3,6,6,6,6,3,5,5,6,5
116,2,18,2,5,6,6,4,4,5,1,5,6,6,3,3,5,6,4,5,5,6,6,5,6,5,5,1,,1,,,4,,4,,,5,,5,,,2,2,3,2,3,5,3,2,5,5,5,4,3,6,6,6,3,2,3,2,6,3
117,2,18,2,5,6,6,4,4,5,1,6,6,6,4,5,6,6,2,5,3,6,5,3,5,2,4,4,,4,,,3,,3,,,5,,5,,,6,6,6,,3,5,6,6,5,4,6,6,6,1,3,6,6,5,3,5,1,6
118,2,19,2,5,6,5,3,4,5,1,5,4,6,2,3,5,6,3,2,1,5,6,5,3,1,2,1,,1,,,4,,4,,,5,,5,,,6,6,6,5,6,1,6,3,4,6,6,6,4,6,5,5,6,6,3,6,5,5
119,3,21,2,5,6,6,3,5,6,1,5,6,5,3,4,6,6,3,6,1,6,6,3,2,6,4,4,,,4,,1,,,1,,5,,,5,,6,6,3,6,6,1,6,4,5,1,2,6,4,1,5,3,6,6,6,6,2,1
120,2,19,2,4,4,6,1,4,2,1,4,6,2,2,4,4,5,2,4,3,6,5,5,3,3,3,1,,1,,,4,,4,,,5,,5,,,2,2,5,5,5,1,3,2,5,5,5,2,2,5,5,3,5,2,3,5,5,5
